Ticker ,BBERG_Ticker,Short Name,Market Cap,Revenue T12M,OPM LF,GICS Sector,GICS Ind Grp Name
TMHC,TMHC US Equity,TAYLOR MORRISON,"3,165,850,368","5,443,924,992",6.49,Consumer Discretionary,Consumer Durables & Apparel
TMO,TMO US Equity,THERMO FISHER,"164,632,444,928","26,248,000,512",20.11,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
TMUS,TMUS US Equity,T-MOBILE US INC,"142,657,486,848","51,722,999,808",4.64,Communication Services,Telecommunication Services
TNC,TNC US Equity,TENNANT CO,"1,332,436,224","1,041,600,000",10.70,Industrials,Capital Goods
TNET,TNET US Equity,TRINET GROUP INC,"4,696,557,056","3,983,000,000",18.25,Industrials,Commercial & Professional Services
TOL,TOL US Equity,TOLL BROTHERS,"4,968,627,200","7,025,194,112",5.97,Consumer Discretionary,Consumer Durables & Apparel
TPH,TPH US Equity,TRI POINTE GROUP,"2,266,366,720","3,249,999,040",10.04,Consumer Discretionary,Consumer Durables & Apparel
TPIC,TPIC US Equity,TPI COMPOSITES I,"1,072,061,312","1,536,401,984",-3.55,Industrials,Capital Goods
TPR,TPR US Equity,TAPESTRY INC,"4,307,136,512","4,961,400,064",-39.17,Consumer Discretionary,Consumer Durables & Apparel
TPX,TPX US Equity,TEMPUR SEALY INT,"4,499,156,992","3,179,899,968",8.03,Consumer Discretionary,Consumer Durables & Apparel
TR,TR US Equity,TOOTSIE ROLL IND,"2,224,241,152","502,586,000",0.61,Consumer Staples,"Food, Beverage & Tobacco"
TREE,TREE US Equity,LENDINGTREE INC,"4,248,655,104","1,033,202,000",-4.09,Financials,Diversified Financials
TREX,TREX US Equity,TREX CO INC,"8,071,687,168","780,366,016",28.73,Industrials,Capital Goods
TRIP,TRIP US Equity,TRIPADVISOR INC,"3,093,478,400","1,100,000,000",-277.97,Communication Services,Media & Entertainment
TRMB,TRMB US Equity,TRIMBLE INC,"12,388,183,040","3,133,800,064",13.30,Information Technology,Technology Hardware & Equipment
TRN,TRN US Equity,TRINITY INDUSTRI,"2,488,331,776","2,788,700,032",-60.35,Industrials,Capital Goods
TROW,TROW US Equity,T ROWE PRICE GRP,"31,426,160,640","5,773,399,936",39.12,Financials,Diversified Financials
TROX,TROX US Equity,TRONOX HOLDING-A,"1,349,084,416","2,761,000,000",8.48,Materials,Materials
TRS,TRS US Equity,TRIMAS CORP,"1,192,195,456","790,090,000",-9.10,Industrials,Capital Goods
TRTN,TRTN US Equity,TRITON INTERNATI,"2,297,799,424","1,385,948,000",42.62,Industrials,Capital Goods
TRU,TRU US Equity,TRANSUNION,"17,004,444,672","2,696,899,968",19.53,Industrials,Commercial & Professional Services
TRV,TRV US Equity,TRAVELERS COS IN,"30,094,303,232","31,384,999,936",0.00,Financials,Insurance
TSCO,TSCO US Equity,TRACTOR SUPPLY,"17,326,628,864","9,311,443,840",14.10,Consumer Discretionary,Retailing
TSE,TSE US Equity,TRINSEO SA,"1,032,107,456","3,234,099,968",-8.95,Materials,Materials
TSLA,TSLA US Equity,TESLA INC,"289,747,763,200","25,707,999,744",5.42,Consumer Discretionary,Automobiles & Components
TSN,TSN US Equity,TYSON FOODS-A,"23,935,621,120","42,608,998,400",7.73,Consumer Staples,"Food, Beverage & Tobacco"
TT,TT US Equity,TRANE TECHNOLOGI,"28,770,369,536","14,275,300,096",13.49,Industrials,Capital Goods
TTC,TTC US Equity,TORO CO,"8,033,748,992","3,269,973,056",13.54,Industrials,Capital Goods
TTD,TTD US Equity,TRADE DESK INC-A,"21,505,228,800","680,162,016",-11.32,Information Technology,Software & Services
TTEC,TTEC US Equity,TTEC HOLDINGS IN,"2,704,005,632","1,742,127,008",10.81,Information Technology,Software & Services
TTEK,TTEK US Equity,TETRA TECH INC,"5,140,406,784","2,386,452,992",11.34,Industrials,Commercial & Professional Services
TTMI,TTMI US Equity,TTM TECHNOLOGIES,"1,311,652,352","2,504,014,016",4.03,Information Technology,Technology Hardware & Equipment
TTWO,TTWO US Equity,TAKE-TWO INTERAC,"19,221,501,952","3,379,821,056",9.88,Communication Services,Media & Entertainment
TW,TW US Equity,TRADEWEB MARKE-A,"12,373,786,624","845,002,000",26.23,Financials,Diversified Financials
TWLO,TWLO US Equity,TWILIO INC - A,"35,852,296,192","1,392,006,976",-25.61,Information Technology,Software & Services
TWNK,TWNK US Equity,HOSTESS BRANDS,"1,728,648,064","943,588,000",13.49,Consumer Staples,"Food, Beverage & Tobacco"
TWOU,TWOU US Equity,2U INC,"2,670,139,136","675,142,016",-26.86,Information Technology,Software & Services
TWTR,TWTR US Equity,TWITTER INC,"29,613,129,728","3,322,132,992",-40.08,Communication Services,Media & Entertainment
TXN,TXN US Equity,TEXAS INSTRUMENT,"126,986,444,800","13,689,000,192",37.91,Information Technology,Semiconductors & Semiconductor Equipment
TXRH,TXRH US Equity,TEXAS ROADHOUS,"4,258,627,584","2,504,676,064",-9.93,Consumer Discretionary,Consumer Services
TXT,TXT US Equity,TEXTRON INC,"8,708,674,560","12,543,000,064",-0.73,Industrials,Capital Goods
TYL,TYL US Equity,TYLER TECHNOLOG,"13,229,562,880","1,111,868,992",15.25,Information Technology,Software & Services
UA,UA US Equity,UNDER ARMO-C,"4,695,478,272","4,508,560,960",-23.98,Consumer Discretionary,Consumer Durables & Apparel
UAA,UAA US Equity,UNDER ARMOUR-A,"4,695,478,272","4,508,560,960",-23.98,Consumer Discretionary,Consumer Durables & Apparel
UAL,UAL US Equity,UNITED AIRLINES,"10,572,264,448","31,721,999,104",-110.98,Industrials,Transportation
UBER,UBER US Equity,UBER TECHNOLOGIE,"54,050,877,440","13,665,999,872",-71.71,Industrials,Transportation
UCTT,UCTT US Equity,ULTRA CLEAN HOLD,"1,139,481,984","1,206,418,016",8.94,Information Technology,Semiconductors & Semiconductor Equipment
UFPI,UFPI US Equity,UFP INDUSTRIES I,"3,892,195,072","4,435,130,112",7.44,Industrials,Capital Goods
UFS,UFS US Equity,DOMTAR CORP,"1,603,897,600","4,817,000,064",1.38,Materials,Materials
UHAL,UHAL US Equity,AMERCO,"7,032,725,504","3,886,856,000",15.61,Industrials,Transportation
UHS,UHS US Equity,UNIVERSAL HLTH-B,"9,639,284,736","11,278,121,216",13.12,Health Care,Health Care Equipment & Services
UI,UI US Equity,UBIQUITI INC,"12,164,950,016","1,255,618,976",37.74,Information Technology,Technology Hardware & Equipment
ULTA,ULTA US Equity,ULTA BEAUTY INC,"12,263,564,288","6,828,248,960",-8.65,Consumer Discretionary,Retailing
UNF,UNF US Equity,UNIFIRST CORP/MA,"3,783,971,328","1,855,137,024",6.22,Industrials,Commercial & Professional Services
UNFI,UNFI US Equity,UNITED NATURAL,"1,113,973,248","25,231,955,968",1.08,Consumer Staples,Food & Staples Retailing
UNH,UNH US Equity,UNITEDHEALTH GRP,"306,264,702,976","247,810,998,272",14.87,Health Care,Health Care Equipment & Services
UNM,UNM US Equity,UNUM GROUP,"3,912,365,056","11,886,899,712",12.75,Financials,Insurance
UNP,UNP US Equity,UNION PAC CORP,"130,221,645,824","20,201,000,704",38.97,Industrials,Transportation
UNVR,UNVR US Equity,UNIVAR SOLUTIONS,"2,992,391,680","8,762,700,160",2.35,Industrials,Capital Goods
UPS,UPS US Equity,UNITED PARCEL-B,"136,232,017,920","77,379,999,744",10.81,Industrials,Transportation
URBN,URBN US Equity,URBAN OUTFITTER,"1,876,390,272","3,707,859,008",-33.77,Consumer Discretionary,Retailing
URI,URI US Equity,UNITED RENTALS,"12,873,537,536","9,008,000,000",19.65,Industrials,Capital Goods
USFD,USFD US Equity,US FOODS HOLDING,"5,297,640,448","24,363,999,744",-1.29,Consumer Staples,Food & Staples Retailing
USM,USM US Equity,US CELLULAR CORP,"3,079,111,936","4,019,000,000",5.45,Communication Services,Telecommunication Services
USNA,USNA US Equity,USANA HEALTH SCI,"1,762,317,440","1,057,506,000",15.28,Consumer Staples,Household & Personal Products
UTHR,UTHR US Equity,UNITED THERAPEUT,"4,908,391,424","1,430,900,000",38.81,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
UVV,UVV US Equity,UNIVERSAL CORP,"1,117,186,560","1,928,875,008",2.70,Consumer Staples,"Food, Beverage & Tobacco"
V,V US Equity,VISA INC-CLASS A,"385,954,512,896","22,882,000,384",62.00,Information Technology,Software & Services
VAC,VAC US Equity,MARRIOTT VACATIO,"3,929,674,496","3,716,999,936",-11.04,Consumer Discretionary,Consumer Services
VAR,VAR US Equity,VARIAN MEDICAL S,"15,771,012,096","3,196,599,936",8.63,Health Care,Health Care Equipment & Services
VC,VC US Equity,VISTEON CORP,"2,237,033,984","2,489,000,000",-11.05,Consumer Discretionary,Automobiles & Components
VEEV,VEEV US Equity,VEEVA SYSTEMS-A,"38,602,715,136","1,196,434,976",25.98,Health Care,Health Care Equipment & Services
VFC,VFC US Equity,VF CORP,"24,828,411,904","9,956,727,936",-22.93,Consumer Discretionary,Consumer Durables & Apparel
VG,VG US Equity,VONAGE HOLDINGS,"2,880,321,792","1,220,211,008",0.78,Communication Services,Telecommunication Services
VGR,VGR US Equity,VECTOR GROUP LTD,"1,565,125,248","1,506,565,024",20.58,Consumer Staples,"Food, Beverage & Tobacco"
VIAC,VIAC US Equity,VIACOMCBS INC-B,"16,299,158,528","23,110,000,128",20.49,Communication Services,Media & Entertainment
VIACA,VIACA US Equity,VIACOMCBS INC-A,"16,299,158,528","23,110,000,128",20.49,Communication Services,Media & Entertainment
VIAV,VIAV US Equity,VIAVI SOLUTIONS,"3,225,819,392","1,136,300,000",16.24,Information Technology,Technology Hardware & Equipment
